nan,nan,7.838127904151539838e+01,5.401558680908086529e+01,3.602098556825983167e+01,2.351258154901076480e+01,1.425709500101829086e+01,7.879891193359575219e+00,3.762922495992650163e+00,1.186626154572177905e+00,1.801259403603116260e-01,2.569865330738020648e-02,3.173673298585455525e-03,1.090644279962866463e-03,8.704277120988381270e-04,2.244665299761118560e-03,6.051815120230716327e-03,2.449936469338111905e-02,1.159767942577565547e+00,8.396732780122103890e+00,1.692841470020107408e+01,2.662523567455854234e+01,3.880559542530228612e+01,5.760225619630853089e+01,8.093890388183790208e+01
nan,nan,8.897678355070881651e+01,6.323815535951997902e+01,4.310509877048526306e+01,2.912787254002204662e+01,1.863951584987803756e+01,1.113091126582416202e+01,5.986179798586692691e+00,1.938819091988308152e+00,3.024426484578245367e-01,3.935408863217289277e-02,6.559860025052217068e-03,2.068870089557613492e-03,1.538267105887417604e-03,3.476516528756733518e-03,7.056337836412344966e-03,2.069217392183403392e-02,7.669970428953228891e-01,7.180044087651960005e+00,1.534189200434976641e+01,2.467229958901995701e+01,3.507229174086540269e+01,5.055690894786258127e+01,7.123519554178589885e+01
nan,nan,9.768050794443347229e+01,7.049021908201817155e+01,4.938488007508470901e+01,3.358098600476968443e+01,2.194825748054829262e+01,1.367240893619904263e+01,7.234676608012470034e+00,2.771171970226403047e+00,5.962378195550920301e-01,7.138589577235585071e-02,1.158605350412646520e-02,4.255754622001773485e-03,4.218582968238698654e-03,6.217995973658275131e-03,9.160505794578466601e-03,2.820405857145121334e-02,3.831930685456665375e-01,4.963761533833916495e+00,1.202807655340396131e+01,2.003241871227498550e+01,2.932615923190914131e+01,4.113986893617935436e+01,5.825269064958686727e+01
nan,nan,nan,7.752780162968383593e+01,5.457791141385840206e+01,3.764147950957142541e+01,2.444751742672161754e+01,1.490076495986173910e+01,8.481310583320883723e+00,4.165479662178882769e+00,1.148980520327464783e+00,1.489001857322978795e-01,2.532114584996796383e-02,1.025763941537838689e-02,6.987429532988541185e-03,7.323432392264035869e-03,9.202192804722657965e-03,2.361832587276074119e-02,1.594767544873829102e-01,2.533004861691619869e+00,8.087329727530942591e+00,1.450762690554808820e+01,2.244515591536430676e+01,3.404175571524427113e+01,4.714998875300741332e+01
nan,nan,nan,8.215777592186955758e+01,5.809886938516694244e+01,3.940021899700431618e+01,2.549432187448461207e+01,1.581293264762217632e+01,9.646923452689783574e+00,5.132502071153712819e+00,1.960973790407896322e+00,2.576097882619440282e-01,3.230863110773486702e-02,1.580436798070606122e-02,9.910295214709321024e-03,4.385596892559797191e-03,3.509294163550663072e-03,7.115525936572047495e-03,2.704322092608587441e-02,3.434558967428735787e-01,3.378105316025652893e+00,8.187347533998147853e+00,1.534591622135905453e+01,2.554722839722243677e+01,3.704790974123334024e+01
nan,nan,nan,8.198317720900611505e+01,5.784018321754484049e+01,3.931795122302269618e+01,2.567229680819426108e+01,1.561065343979984910e+01,9.134202794497433331e+00,4.930726262498167145e+00,2.010966983433807531e+00,3.501699665786717208e-01,4.549624256391125721e-02,1.413416645829820330e-02,5.359801862837114232e-03,1.167084071357049483e-03,5.800021531094916999e-04,6.460249553338410404e-04,1.874115764713715077e-03,1.183005400877653462e-02,2.769308909584488054e-01,1.954645251955262397e+00,7.163687667023840078e+00,1.494408792931672636e+01,2.480958540228452591e+01
nan,nan,nan,8.198725896767155064e+01,5.705176551196870349e+01,3.813702013276244429e+01,2.422031736185357431e+01,1.515945514773856218e+01,8.347028131226638337e+00,4.063979251362225042e+00,1.094609038991397609e+00,1.961581448870695910e-01,2.517070842735765271e-02,4.429061003783038748e-03,9.446432128277184497e-04,4.363415782529159572e-04,3.638929527192331947e-04,3.520870074000609839e-04,5.016392810880241802e-04,1.070297123460876507e-03,5.932608913499682821e-03,2.391576521400715083e-02,9.967199197131516863e-02,3.705528576029851084e+00,1.128200991887697135e+01
nan,nan,nan,8.057201607901652096e+01,5.514437493773846199e+01,3.553917101193041361e+01,2.195478746003400161e+01,1.290467429683022438e+01,7.206463925453774344e+00,2.929228776603736151e+00,3.653638742195040590e-01,3.936369822867561569e-02,3.109516275654997195e-03,3.834505829742703895e-04,2.152555380950563039e-04,3.307412580743098168e-04,3.424277012637208322e-04,3.822580335934835840e-04,2.981272640385873541e-04,1.884280335819552834e-04,2.079822324264840399e-04,2.567501625499170824e-04,2.765693762535485414e-05,1.190971720478853260e-04,3.154887736529746189e-02
nan,nan,nan,8.109122299704027625e+01,4.988701027733660709e+01,3.096789266423931508e+01,1.777102811193524090e+01,9.529160858392364375e+00,4.044481341062812874e+00,6.768769441782623852e-01,2.232711144239894405e-02,1.838883676614085647e-03,1.734049454201702601e-04,4.446605360274979974e-05,7.403170909038764064e-05,2.829832847419062663e-04,5.913336701796786639e-04,8.498464145260454551e-04,6.732822524405143293e-04,2.463763450159738261e-04,5.173817006107754346e-05,2.169632606182230096e-05,8.344653750216029254e-07,-0.000000000000000000e+00,-0.000000000000000000e+00
nan,nan,nan,9.247574858992894065e+01,5.287370649879083118e+01,2.469705455329957289e+01,1.145014238994068556e+01,5.230846611932973289e+00,9.077831306660947286e-01,2.454114630785199369e-02,6.615322980310969206e-04,4.017433755650569511e-05,5.960482241178043146e-06,3.337865678089319263e-06,7.867844061755479627e-06,6.711708231806972041e-05,6.210347821664456702e-04,1.984179249000570574e-03,1.663159780139221661e-03,7.026279192268684989e-04,8.190013564593868025e-05,1.049047250528302958e-05,2.384186075232764303e-07,-0.000000000000000000e+00,-0.000000000000000000e+00
